,t-SNE dimension 1,t-SNE dimension 2,label,file
0,-23.292503,0.5983364,4 (Classical),asap___Bach_Fugue_bwv_846_Shi05M
1,-29.984344,-1.2056962,4 (Classical),asap___Bach_Fugue_bwv_848_Denisova06M
2,-29.599125,-2.1141677,4 (Classical),asap___Bach_Fugue_bwv_848_Lee01M
3,-29.594488,-3.119569,4 (Classical),asap___Bach_Fugue_bwv_848_LeeSH01M
4,-29.884222,-2.0908682,4 (Classical),asap___Bach_Fugue_bwv_848_Lin04M
5,-29.861969,-2.3217666,4 (Classical),asap___Bach_Fugue_bwv_848_Lou01M
6,-30.342514,-4.131058,4 (Classical),asap___Bach_Fugue_bwv_848_MiyashitaM01M
7,-29.513174,-2.1453485,4 (Classical),asap___Bach_Fugue_bwv_848_Mizumoto03M
8,-30.05049,-3.010996,4 (Classical),asap___Bach_Fugue_bwv_848_SunY01M
9,-29.974945,-2.4026608,4 (Classical),asap___Bach_Fugue_bwv_848_Zhou01M
10,-30.516968,-3.7175925,4 (Classical),asap___Bach_Fugue_bwv_854_LuA01M
11,-30.45207,-3.0021133,4 (Classical),asap___Bach_Fugue_bwv_854_MiyashitaM01M
12,-29.499502,-1.794984,4 (Classical),asap___Bach_Fugue_bwv_854_Ozaki01M
13,-30.68654,-3.72371,4 (Classical),asap___Bach_Fugue_bwv_854_Richardson01M
14,-30.184313,-2.8026435,4 (Classical),asap___Bach_Fugue_bwv_854_WangA01M
15,-29.70953,-4.5860205,4 (Classical),asap___Bach_Fugue_bwv_856_LuoJ01M
16,-28.355524,-3.4762745,4 (Classical),asap___Bach_Fugue_bwv_857_Bult-ItoS02M
17,-28.424835,-2.5880344,4 (Classical),asap___Bach_Fugue_bwv_857_Lisiecki04M
18,-28.337702,-3.339717,4 (Classical),asap___Bach_Fugue_bwv_857_ToA01M
19,-27.90595,-3.672774,4 (Classical),asap___Bach_Fugue_bwv_857_WangA01M
20,-28.55039,-3.2010195,4 (Classical),asap___Bach_Fugue_bwv_857_YuP01M
21,-24.927109,-3.1677012,4 (Classical),asap___Bach_Fugue_bwv_858_VuV01M
22,-28.805353,-2.068538,4 (Classical),asap___Bach_Fugue_bwv_858_Zhang01M
23,-30.016712,-2.84051,4 (Classical),asap___Bach_Fugue_bwv_860_Ko04M
24,-29.535963,-2.7335646,4 (Classical),asap___Bach_Fugue_bwv_860_Nikiforov05M
25,-29.855984,-2.5846505,4 (Classical),asap___Bach_Fugue_bwv_860_Tetzloff04M
26,-30.033434,-3.1430774,4 (Classical),asap___Bach_Fugue_bwv_860_TuanS01M
27,-30.548971,-3.90701,4 (Classical),asap___Bach_Fugue_bwv_860_YoungS01M
28,-29.82454,-2.088382,4 (Classical),asap___Bach_Fugue_bwv_860_ZhangH04M
29,-26.932844,-2.4354098,4 (Classical),asap___Bach_Fugue_bwv_862_Song04M
30,-25.972752,-2.7893097,4 (Classical),asap___Bach_Fugue_bwv_863_LeeN01M
31,-25.923641,-1.7220695,4 (Classical),asap___Bach_Fugue_bwv_863_Shychko01M
32,-27.488047,-3.2935517,4 (Classical),asap___Bach_Fugue_bwv_863_TongB01M
33,-29.580864,-4.255381,4 (Classical),asap___Bach_Fugue_bwv_864_SunD01M
34,-29.581676,-2.2669833,4 (Classical),asap___Bach_Fugue_bwv_865_Teo01M
35,-29.977232,-3.248654,4 (Classical),asap___Bach_Fugue_bwv_865_ZhangE01M
36,-27.568434,-3.4884188,4 (Classical),asap___Bach_Fugue_bwv_867_HuNY01M
37,-26.66269,-1.9718724,4 (Classical),asap___Bach_Fugue_bwv_867_Sham01M
38,-27.935778,-2.6004727,4 (Classical),asap___Bach_Fugue_bwv_868_GonzalezJ05M
39,-29.801165,-3.6619577,4 (Classical),asap___Bach_Fugue_bwv_870_ChenW01M
40,-30.00357,-3.952225,4 (Classical),asap___Bach_Fugue_bwv_870_LeeE01M
41,-29.880688,-1.6253572,4 (Classical),asap___Bach_Fugue_bwv_870_MaximovI01M
42,-28.77803,-1.9995843,4 (Classical),asap___Bach_Fugue_bwv_873_Lisiecki13M
43,-25.108843,-1.6065336,4 (Classical),asap___Bach_Fugue_bwv_874_BianF01
44,-24.214235,-0.3159728,4 (Classical),asap___Bach_Fugue_bwv_874_Kurz01M
45,-23.635916,0.09739678,4 (Classical),asap___Bach_Fugue_bwv_874_WongWY01M
46,-28.12115,-2.4751742,4 (Classical),asap___Bach_Fugue_bwv_875_Ahfat01M
47,-29.125502,-3.2322655,4 (Classical),asap___Bach_Fugue_bwv_875_CaoJ01M
48,-27.913553,-3.3364916,4 (Classical),asap___Bach_Fugue_bwv_876_SirajA01M
49,-28.545563,-2.336954,4 (Classical),asap___Bach_Fugue_bwv_876_Song01M
50,-30.206417,-3.1621232,4 (Classical),asap___Bach_Fugue_bwv_880_LeungR01M
51,-29.78694,-2.0670836,4 (Classical),asap___Bach_Fugue_bwv_880_WangA04M
52,-27.496609,-3.2351089,4 (Classical),asap___Bach_Fugue_bwv_883_GuoE01M
53,-28.9079,-3.6366458,4 (Classical),asap___Bach_Fugue_bwv_883_Herbert02
54,-30.176235,-3.0905714,4 (Classical),asap___Bach_Fugue_bwv_883_KaiRuiR03
55,-27.020365,-2.5867295,4 (Classical),asap___Bach_Fugue_bwv_883_Khmara04
56,-29.510378,-4.6464267,4 (Classical),asap___Bach_Fugue_bwv_883_LuM01M
57,-30.115238,-3.0961413,4 (Classical),asap___Bach_Fugue_bwv_884_LiA01M
58,-29.420162,-2.2379446,4 (Classical),asap___Bach_Fugue_bwv_885_Guo01M
59,-29.018223,-2.7759278,4 (Classical),asap___Bach_Fugue_bwv_885_Huang04M
60,-29.349207,-5.003129,4 (Classical),asap___Bach_Fugue_bwv_885_JeonH01M
61,-29.891148,-2.3655665,4 (Classical),asap___Bach_Fugue_bwv_885_SINKEV06
62,-27.26834,-3.6828017,4 (Classical),asap___Bach_Fugue_bwv_887_LiYZ01M
63,-30.190325,-4.0744567,4 (Classical),asap___Bach_Fugue_bwv_888_ZhaoK01M
64,-29.548574,-2.3288755,4 (Classical),asap___Bach_Fugue_bwv_889_Giesbrecht01M
65,-29.633501,-2.955844,4 (Classical),asap___Bach_Fugue_bwv_889_LiuY01M
66,-21.41484,-3.8466542,4 (Classical),asap___Bach_Fugue_bwv_889_MunA01M
67,-28.884966,-1.9005914,4 (Classical),asap___Bach_Fugue_bwv_889_Wang01M
68,-29.815844,-3.3458564,4 (Classical),asap___Bach_Fugue_bwv_889_YangY02M
69,-29.386139,-3.368816,4 (Classical),asap___Bach_Fugue_bwv_889_ZhangW02M
70,-28.729918,-2.58554,4 (Classical),asap___Bach_Fugue_bwv_891_Duepree06M
71,-26.153343,-1.4361992,4 (Classical),asap___Bach_Fugue_bwv_892_Hou01M
72,-26.347797,-3.1390693,4 (Classical),asap___Bach_Fugue_bwv_892_KabuliL01M
73,-29.549395,-1.6919264,4 (Classical),asap___Bach_Fugue_bwv_893_Kleisen04M
74,-30.309774,-2.133208,4 (Classical),asap___Bach_Fugue_bwv_893_Levitsky04M
75,-29.138962,-5.0598993,4 (Classical),asap___Bach_Fugue_bwv_893_Wong01M
76,-21.14861,3.4371898,4 (Classical),asap___Bach_Prelude_bwv_846_Shi05M
77,-30.396307,-1.1676503,4 (Classical),asap___Bach_Prelude_bwv_848_Denisova06M
78,-30.10587,-2.0973206,4 (Classical),asap___Bach_Prelude_bwv_848_Lee01M
79,-30.746014,-2.811145,4 (Classical),asap___Bach_Prelude_bwv_848_LeeSH01M
80,-30.164276,-1.8277171,4 (Classical),asap___Bach_Prelude_bwv_848_Lin04M
81,-30.241404,-1.8536289,4 (Classical),asap___Bach_Prelude_bwv_848_Lou01M
82,-30.797039,-4.0478992,4 (Classical),asap___Bach_Prelude_bwv_848_MiyashitaM01M
83,-29.710152,-1.605473,4 (Classical),asap___Bach_Prelude_bwv_848_Mizumoto03M
84,-30.960403,-2.8004522,4 (Classical),asap___Bach_Prelude_bwv_848_SunY01M
85,-30.52875,-2.1317773,4 (Classical),asap___Bach_Prelude_bwv_848_Zhou01M
86,-28.051748,-4.154007,4 (Classical),asap___Bach_Prelude_bwv_854_LuA01M
87,-28.806181,-3.4853225,4 (Classical),asap___Bach_Prelude_bwv_854_MiyashitaM01M
88,-26.938988,-2.1136353,4 (Classical),asap___Bach_Prelude_bwv_854_Ozaki01M
89,-27.594786,-3.7190783,4 (Classical),asap___Bach_Prelude_bwv_854_Richardson01M
90,-27.974117,-3.6230807,4 (Classical),asap___Bach_Prelude_bwv_854_WangA01M
91,-30.659557,-4.054751,4 (Classical),asap___Bach_Prelude_bwv_856_LuoJ01M
92,-28.506462,-3.8280795,4 (Classical),asap___Bach_Prelude_bwv_857_Bult-ItoS02M
93,-25.994234,-1.591261,4 (Classical),asap___Bach_Prelude_bwv_857_Lan01M
94,-27.51696,-2.9473324,4 (Classical),asap___Bach_Prelude_bwv_857_Lisiecki04M
95,-27.87888,-3.368769,4 (Classical),asap___Bach_Prelude_bwv_857_ToA01M
96,-27.692709,-3.7810786,4 (Classical),asap___Bach_Prelude_bwv_857_WangA01M
97,-28.223541,-3.4597447,4 (Classical),asap___Bach_Prelude_bwv_857_YuP01M
98,-28.086391,-4.3727984,4 (Classical),asap___Bach_Prelude_bwv_858_VuV01M
99,-29.52033,-2.9423254,4 (Classical),asap___Bach_Prelude_bwv_858_Zhang01M
100,-30.009062,-2.0353618,4 (Classical),asap___Bach_Prelude_bwv_860_Ko04M
101,-29.892979,-1.5619773,4 (Classical),asap___Bach_Prelude_bwv_860_Nikiforov05M
102,-29.827242,-1.3988411,4 (Classical),asap___Bach_Prelude_bwv_860_Tetzloff04M
103,-30.677586,-2.820379,4 (Classical),asap___Bach_Prelude_bwv_860_TuanS01M
104,-31.004501,-4.315889,4 (Classical),asap___Bach_Prelude_bwv_860_YoungS01M
105,-29.95422,-1.3149134,4 (Classical),asap___Bach_Prelude_bwv_860_ZhangH04M
106,-29.086773,-1.6142639,4 (Classical),asap___Bach_Prelude_bwv_862_Song04M
107,-27.115677,-3.544105,4 (Classical),asap___Bach_Prelude_bwv_863_LeeN01M
108,-24.623547,-0.28668413,4 (Classical),asap___Bach_Prelude_bwv_863_Shychko01M
109,-28.193369,-2.8505247,4 (Classical),asap___Bach_Prelude_bwv_863_TongB01M
110,-30.370049,-4.011611,4 (Classical),asap___Bach_Prelude_bwv_864_SunD01M
111,-29.684446,-2.2265575,4 (Classical),asap___Bach_Prelude_bwv_865_Rizikov01M
112,-29.529457,-1.5648676,4 (Classical),asap___Bach_Prelude_bwv_865_Teo01M
113,-30.387083,-2.8970387,4 (Classical),asap___Bach_Prelude_bwv_865_ZhangE01M
114,-23.132809,-0.16952518,4 (Classical),asap___Bach_Prelude_bwv_867_HuNY01M
115,-23.717716,-1.3017812,4 (Classical),asap___Bach_Prelude_bwv_867_Sham01M
116,-28.576057,-2.8944273,4 (Classical),asap___Bach_Prelude_bwv_868_GonzalezJ05M
117,-26.979424,-3.8793244,4 (Classical),asap___Bach_Prelude_bwv_870_ChenW01M
118,-28.058292,-3.6398365,4 (Classical),asap___Bach_Prelude_bwv_870_LeeE01M
119,-29.180117,-2.5321767,4 (Classical),asap___Bach_Prelude_bwv_870_MaximovI01M
120,-27.340998,-3.2311766,4 (Classical),asap___Bach_Prelude_bwv_873_Lisiecki13M
121,-29.392872,-2.1633005,4 (Classical),asap___Bach_Prelude_bwv_874_BianF01M
122,-29.762447,-4.5476084,4 (Classical),asap___Bach_Prelude_bwv_874_WongWY01M
123,-30.00551,-2.0487578,4 (Classical),asap___Bach_Prelude_bwv_875_Ahfat01M
124,-30.915487,-3.1348734,4 (Classical),asap___Bach_Prelude_bwv_875_CaoJ01M
125,-30.20947,-2.0057688,4 (Classical),asap___Bach_Prelude_bwv_875_HONG04M
126,-30.02073,-3.3937037,4 (Classical),asap___Bach_Prelude_bwv_876_SirajA01M
127,-29.342407,-2.5127494,4 (Classical),asap___Bach_Prelude_bwv_876_Song01M
128,-28.037056,-3.3344133,4 (Classical),asap___Bach_Prelude_bwv_880_LeungR01M
129,-26.340776,-1.7599767,4 (Classical),asap___Bach_Prelude_bwv_880_WangA04M
130,-27.725721,-3.3966622,4 (Classical),asap___Bach_Prelude_bwv_883_GuoE01M
131,-27.895807,-4.0611415,4 (Classical),asap___Bach_Prelude_bwv_883_LuM01M
132,-30.7668,-3.092387,4 (Classical),asap___Bach_Prelude_bwv_884_LiA01M
133,-24.424307,-0.6755561,4 (Classical),asap___Bach_Prelude_bwv_885_Guo01M
134,-27.274868,-2.6835747,4 (Classical),asap___Bach_Prelude_bwv_885_Huang04M
135,-24.021748,-1.7124121,4 (Classical),asap___Bach_Prelude_bwv_885_JeonH01M
136,-26.418798,-2.4401777,4 (Classical),asap___Bach_Prelude_bwv_885_SINKEV06
137,-29.795624,-4.913045,4 (Classical),asap___Bach_Prelude_bwv_887_LiYZ01M
138,-27.880121,-3.96494,4 (Classical),asap___Bach_Prelude_bwv_888_ZhaoK01M
139,-28.349844,-2.5719652,4 (Classical),asap___Bach_Prelude_bwv_889_Giesbrecht01M
140,-28.581385,-3.414219,4 (Classical),asap___Bach_Prelude_bwv_889_LiuY01M
141,-28.827024,-4.3191967,4 (Classical),asap___Bach_Prelude_bwv_889_MunA01M
142,-28.653357,-2.9764273,4 (Classical),asap___Bach_Prelude_bwv_889_Wang01M
143,-28.654434,-3.4501426,4 (Classical),asap___Bach_Prelude_bwv_889_YangY02M
144,-28.83856,-3.258546,4 (Classical),asap___Bach_Prelude_bwv_889_ZhangW02M
145,-28.903017,-2.4435697,4 (Classical),asap___Bach_Prelude_bwv_891_BLINOV04M
146,-28.721983,-2.29615,4 (Classical),asap___Bach_Prelude_bwv_891_Duepree06M
147,-29.667717,-2.334141,4 (Classical),asap___Bach_Prelude_bwv_892_Hou01M
148,-30.06188,-3.1069381,4 (Classical),asap___Bach_Prelude_bwv_892_KabuliL01M
149,-28.874447,-2.859376,4 (Classical),asap___Bach_Prelude_bwv_893_Kleisen04M
150,-28.686285,-2.347629,4 (Classical),asap___Bach_Prelude_bwv_893_Levitsky04M
151,-28.242228,-4.014219,4 (Classical),asap___Bach_Prelude_bwv_893_Wong01M
152,-27.765394,-1.170014,4 (Classical),asap___Balakirev_Islamey_CHEN10M
153,-25.863792,-0.544457,4 (Classical),asap___Balakirev_Islamey_Na08M
154,-26.936487,-1.5737735,4 (Classical),asap___Balakirev_Islamey_Yi04M
155,-28.38729,-2.7476892,4 (Classical),asap___Beethoven_Piano_Sonatas_10-1_Hou02M
156,-29.7681,-2.8019886,4 (Classical),asap___Beethoven_Piano_Sonatas_11-1_LiC03M
157,-25.041264,-0.11507,4 (Classical),asap___Beethoven_Piano_Sonatas_11-1_LiYZ03M
158,-29.232634,-1.5173255,4 (Classical),asap___Beethoven_Piano_Sonatas_11-1_MaximovI02M
159,-28.825912,-2.0775285,4 (Classical),asap___Beethoven_Piano_Sonatas_11-1_ZhaoK02M
160,-26.738897,-2.015474,4 (Classical),asap___Beethoven_Piano_Sonatas_12-1_Kleisen05M
161,-25.267782,0.25581485,4 (Classical),asap___Beethoven_Piano_Sonatas_16-1_BuiJL02M
162,-25.2948,0.31785053,4 (Classical),asap___Beethoven_Piano_Sonatas_16-1_Khmara05M
163,-26.170074,0.056280054,4 (Classical),asap___Beethoven_Piano_Sonatas_16-1_LeeSH02M
164,-27.40043,-0.47383136,4 (Classical),asap___Beethoven_Piano_Sonatas_16-1_LuoJ03M
165,-27.460863,-0.7211208,4 (Classical),asap___Beethoven_Piano_Sonatas_16-1_Woo05M
166,-26.104233,-2.3727078,4 (Classical),asap___Beethoven_Piano_Sonatas_17-1_KaszoS09M
167,-27.911192,-1.0415714,4 (Classical),asap___Beethoven_Piano_Sonatas_17-1_no_repeat_GuoE02M
168,-27.527035,-0.60631394,4 (Classical),asap___Beethoven_Piano_Sonatas_17-1_no_repeat_KabuliL02M
169,-20.65342,-2.2642558,4 (Classical),asap___Beethoven_Piano_Sonatas_17-1_no_repeat_Richardson02M
170,-27.688904,-0.7863764,4 (Classical),asap___Beethoven_Piano_Sonatas_17-1_no_repeat_TuanS02M
171,-26.690765,-0.098331146,4 (Classical),asap___Beethoven_Piano_Sonatas_17-1_no_repeat_WangH03M
172,-25.159931,-1.9061313,4 (Classical),asap___Beethoven_Piano_Sonatas_17-2_USHIKI05M
173,-28.96892,-2.4579856,4 (Classical),asap___Beethoven_Piano_Sonatas_17-3_KaszoS11M
174,-28.39343,-1.5813539,4 (Classical),asap___Beethoven_Piano_Sonatas_17-3_USHIKI05M
175,-28.49904,-0.9182604,4 (Classical),asap___Beethoven_Piano_Sonatas_18-1_ChenGuang03M
176,-28.769255,-1.4913518,4 (Classical),asap___Beethoven_Piano_Sonatas_18-1_KOLESO06M
177,-29.273628,-4.073743,4 (Classical),asap___Beethoven_Piano_Sonatas_18-1_LeungR02M
178,-29.409248,-2.6994333,4 (Classical),asap___Beethoven_Piano_Sonatas_18-1_Levitsky05M
179,-28.443346,-1.2683287,4 (Classical),asap___Beethoven_Piano_Sonatas_18-1_ZhangH05M
180,-26.72675,-0.783709,4 (Classical),asap___Beethoven_Piano_Sonatas_18-4_ChenGuang06M
181,-28.207361,-0.59721464,4 (Classical),asap___Beethoven_Piano_Sonatas_18-4_KOLESO06M
182,-27.138374,-0.93985087,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_KaiRuiR02M
183,-24.58769,4.1143923,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_Sekino05M
184,-24.71474,4.041861,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_no_repeat_GonzalezJ06M
185,-24.753891,3.9734411,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_no_repeat_KimSY02M
186,-24.715961,4.462437,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_no_repeat_LeeN02M
187,-24.70375,4.5704203,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_no_repeat_RichardsonC02M
188,-24.81564,3.9640007,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_no_repeat_Shychko02M
189,-24.775625,4.118883,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_no_repeat_Sladek02M
190,-24.62209,4.219669,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_no_repeat_Song03M
191,-24.70601,4.2423015,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_no_repeat_SunY02M
192,-24.461123,4.1643305,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_no_repeat_Tetzloff05M
193,-24.669819,4.302152,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_no_repeat_ToA02M
194,-24.71143,4.1289067,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_no_repeat_TongB03M
195,-24.68478,4.28519,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_no_repeat_WangA02M
196,-24.653229,4.3585453,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_no_repeat_YeZ02M
197,-24.707392,4.1995387,4 (Classical),asap___Beethoven_Piano_Sonatas_21-1_no_repeat_ZhangW01M
198,-24.277107,-1.8088185,4 (Classical),asap___Beethoven_Piano_Sonatas_21-2_YOO05M
199,-27.557966,-2.222856,4 (Classical),asap___Beethoven_Piano_Sonatas_21-3_KimSY04M
200,-25.1636,-1.4374717,4 (Classical),asap___Beethoven_Piano_Sonatas_21-3_Sekino05M
201,-26.216497,-1.9149636,4 (Classical),asap___Beethoven_Piano_Sonatas_21-3_YOO05M
202,-29.187931,-1.6356382,4 (Classical),asap___Beethoven_Piano_Sonatas_22-2_KOLESO04M
203,-23.6515,-0.28903216,4 (Classical),asap___Beethoven_Piano_Sonatas_23-1_Duepree05M
204,-25.427658,0.22737786,4 (Classical),asap___Beethoven_Piano_Sonatas_23-1_Guo03M
205,-26.513454,-0.13705124,4 (Classical),asap___Beethoven_Piano_Sonatas_23-1_LiuC02M
206,-26.157152,0.19985697,4 (Classical),asap___Beethoven_Piano_Sonatas_23-1_Mizumoto06M
207,-26.510023,-0.88780224,4 (Classical),asap___Beethoven_Piano_Sonatas_23-1_Teo02M
208,-25.936153,0.21787782,4 (Classical),asap___Beethoven_Piano_Sonatas_23-1_Yi02M
