,t-SNE dimension 1,t-SNE dimension 2,label,file
0,-10.260985,-5.0943522,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_846_Shi05M
1,-12.2827835,-5.940876,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_Denisova06M
2,-8.626779,-6.2074223,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_Lee01M
3,-12.931595,-4.703982,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_LeeSH01M
4,-12.41045,-5.4438295,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_Lin04M
5,-9.510062,-6.002642,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_Lou01M
6,-12.464398,-3.225452,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_MiyashitaM01M
7,-8.925193,-6.032559,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_Mizumoto03M
8,-11.001846,-5.046364,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_SunY01M
9,-9.604518,-5.987497,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_Zhou01M
10,-13.371008,-2.9795642,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_854_LuA01M
11,-11.3892565,-5.0147347,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_854_MiyashitaM01M
12,-9.041131,-6.0736938,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_854_Ozaki01M
13,-14.36013,-4.310051,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_854_Richardson01M
14,-11.8160515,-4.8171005,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_854_WangA01M
15,-13.1526575,-3.1360407,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_856_LuoJ01M
16,-12.695883,-4.079819,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_857_Bult-ItoS02M
17,-14.019844,-4.6062016,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_857_Lisiecki04M
18,-12.452986,-4.8525577,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_857_ToA01M
19,-13.5867405,-4.092854,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_857_WangA01M
20,-12.256192,-4.4739428,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_857_YuP01M
21,-15.645023,-3.878398,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_858_VuV01M
22,-10.144024,-5.8749204,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_858_Zhang01M
23,-12.224587,-5.3338304,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_860_Ko04M
24,-11.510992,-5.5215483,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_860_Nikiforov05M
25,-11.579926,-4.8568077,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_860_Tetzloff04M
26,-11.672116,-3.9718425,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_860_TuanS01M
27,-13.562355,-2.6294217,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_860_YoungS01M
28,-13.040038,-4.8503885,1 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_860_ZhangH04M
