,t-SNE dimension 1,t-SNE dimension 2,label,file
0,-11.465402,3.781425,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_846_Shi05M
1,-13.569225,4.5602527,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_Denisova06M
2,-9.930101,4.924012,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_Lee01M
3,-14.1536875,3.3399732,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_LeeSH01M
4,-13.667788,4.0687027,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_Lin04M
5,-10.789097,4.6973057,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_Lou01M
6,-13.61132,1.8954362,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_MiyashitaM01M
7,-10.213003,4.7431455,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_Mizumoto03M
8,-12.232251,3.7098076,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_SunY01M
9,-10.879718,4.6808767,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_848_Zhou01M
10,-14.508022,1.6248065,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_854_LuA01M
11,-12.6255245,3.6673126,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_854_MiyashitaM01M
12,-10.326298,4.782775,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_854_Ozaki01M
13,-15.581487,2.9345646,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_854_Richardson01M
14,-13.045498,3.461924,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_854_WangA01M
15,-14.3010435,1.7839518,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_856_LuoJ01M
16,-13.888718,2.7267766,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_857_Bult-ItoS02M
17,-15.25355,3.224788,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_857_Lisiecki04M
18,-13.678612,3.492048,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_857_ToA01M
19,-14.787511,2.7188044,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_857_WangA01M
20,-13.457428,3.1245706,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_857_YuP01M
21,-16.868624,2.435261,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_858_VuV01M
22,-11.398049,4.5651054,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_858_Zhang01M
23,-13.466713,3.9687374,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_860_Ko04M
24,-12.763971,4.165693,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_860_Nikiforov05M
25,-12.799097,3.5160084,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_860_Tetzloff04M
26,-12.859959,2.6570458,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_860_TuanS01M
27,-14.684942,1.2640482,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_860_YoungS01M
28,-14.267478,3.4823818,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_860_ZhangH04M
29,-15.4628,3.1583784,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_862_Song04M
30,-15.691511,2.434122,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_863_LeeN01M
31,-12.421288,3.3868065,3 (Classical + Groove + Jazz),asap___Bach_Fugue_bwv_863_Shychko01M
