,t-SNE dimension 1,t-SNE dimension 2,label,file
0,-20.229647,2.7051103,2 (Classical + Jazz),asap___Bach_Fugue_bwv_846_Shi05M
1,-23.147903,-0.6847424,2 (Classical + Jazz),asap___Bach_Fugue_bwv_848_Denisova06M
2,-23.19984,-0.44628662,2 (Classical + Jazz),asap___Bach_Fugue_bwv_848_Lee01M
3,-23.893105,0.44913712,2 (Classical + Jazz),asap___Bach_Fugue_bwv_848_LeeSH01M
4,-23.288942,-0.35275197,2 (Classical + Jazz),asap___Bach_Fugue_bwv_848_Lin04M
5,-23.473864,-0.33385247,2 (Classical + Jazz),asap___Bach_Fugue_bwv_848_Lou01M
6,-24.95669,0.24825686,2 (Classical + Jazz),asap___Bach_Fugue_bwv_848_MiyashitaM01M
7,-22.985592,-0.32288694,2 (Classical + Jazz),asap___Bach_Fugue_bwv_848_Mizumoto03M
8,-24.145365,-0.09305259,2 (Classical + Jazz),asap___Bach_Fugue_bwv_848_SunY01M
9,-23.429092,-0.20762233,2 (Classical + Jazz),asap___Bach_Fugue_bwv_848_Zhou01M
10,-24.666206,-0.053841267,2 (Classical + Jazz),asap___Bach_Fugue_bwv_854_LuA01M
11,-24.2698,-0.2741263,2 (Classical + Jazz),asap___Bach_Fugue_bwv_854_MiyashitaM01M
12,-22.648045,-0.4941058,2 (Classical + Jazz),asap___Bach_Fugue_bwv_854_Ozaki01M
13,-24.411829,-0.13470899,2 (Classical + Jazz),asap___Bach_Fugue_bwv_854_Richardson01M
14,-23.909113,-0.26977712,2 (Classical + Jazz),asap___Bach_Fugue_bwv_854_WangA01M
15,-24.794638,0.5895673,2 (Classical + Jazz),asap___Bach_Fugue_bwv_856_LuoJ01M
16,-22.466785,1.8821701,2 (Classical + Jazz),asap___Bach_Fugue_bwv_857_Bult-ItoS02M
17,-21.836683,1.389473,2 (Classical + Jazz),asap___Bach_Fugue_bwv_857_Lisiecki04M
18,-22.381794,1.8814094,2 (Classical + Jazz),asap___Bach_Fugue_bwv_857_ToA01M
19,-22.514118,2.3795664,2 (Classical + Jazz),asap___Bach_Fugue_bwv_857_WangA01M
20,-22.40341,1.544627,2 (Classical + Jazz),asap___Bach_Fugue_bwv_857_YuP01M
21,-23.115665,2.3898857,2 (Classical + Jazz),asap___Bach_Fugue_bwv_858_VuV01M
22,-22.401085,0.3285463,2 (Classical + Jazz),asap___Bach_Fugue_bwv_858_Zhang01M
23,-23.611126,0.23263098,2 (Classical + Jazz),asap___Bach_Fugue_bwv_860_Ko04M
24,-23.190315,0.22934721,2 (Classical + Jazz),asap___Bach_Fugue_bwv_860_Nikiforov05M
25,-23.030367,0.064175755,2 (Classical + Jazz),asap___Bach_Fugue_bwv_860_Tetzloff04M
26,-24.004229,0.24274117,2 (Classical + Jazz),asap___Bach_Fugue_bwv_860_TuanS01M
27,-24.8744,0.0050106784,2 (Classical + Jazz),asap___Bach_Fugue_bwv_860_YoungS01M
28,-23.250187,0.016959127,2 (Classical + Jazz),asap___Bach_Fugue_bwv_860_ZhangH04M
29,-20.675402,2.296689,2 (Classical + Jazz),asap___Bach_Fugue_bwv_862_Song04M
30,-21.712725,2.7505352,2 (Classical + Jazz),asap___Bach_Fugue_bwv_863_LeeN01M
